City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,labuhan,ID,2021-01-16 19:03:32,-6.8844,112.2051,77.74,83,100,4.97
70,busselton,AU,2021-01-16 19:03:25,-33.65,115.3333,60.01,74,0,8.99
71,tilichiki,RU,2021-01-16 19:03:16,60.4667,166.1,-25.65,85,0,9.17
72,geraldton,AU,2021-01-16 19:03:32,-28.7667,114.6,89.6,29,75,23.02
73,brigantine,US,2021-01-16 19:03:32,39.4101,-74.3646,48.99,66,40,12.66
74,esfarayen,IR,2021-01-16 19:03:32,37.0765,57.5101,35.6,51,0,4.61
75,male,MV,2021-01-16 19:01:54,4.1748,73.5089,82.4,78,75,4.61
76,bubaque,GW,2021-01-16 19:03:32,11.2833,-15.8333,77.76,68,93,12.88
77,half moon bay,US,2021-01-16 19:03:32,37.4636,-122.4286,64.0,77,20,5.75
78,nikolskoye,RU,2021-01-16 19:03:32,59.7035,30.7861,8.01,92,75,6.71
79,faanui,PF,2021-01-16 19:03:32,-16.4833,-151.75,80.91,76,57,11.3
80,karpathos,GR,2021-01-16 19:03:32,35.507,27.2132,55.4,71,84,23.02
81,dunedin,NZ,2021-01-16 19:00:05,-45.8742,170.5036,62.01,92,100,3.0
82,tautira,PF,2021-01-16 19:01:40,-17.7333,-149.15,84.2,65,20,3.44
83,kharp,RU,2021-01-16 19:03:32,66.8014,65.8081,-10.93,86,77,4.56
84,mount pleasant,US,2021-01-16 19:03:33,32.7941,-79.8626,52.0,34,75,17.27
85,lebu,CL,2021-01-16 19:03:06,-37.6167,-73.65,61.5,62,0,22.08
86,borogontsy,RU,2021-01-16 19:03:33,62.6683,131.1683,-43.26,80,100,2.95
87,beringovskiy,RU,2021-01-16 19:03:33,63.05,179.3167,-10.48,88,100,11.77
88,upernavik,GL,2021-01-16 19:03:33,72.7868,-56.1549,11.19,89,0,7.25
89,banda aceh,ID,2021-01-16 19:03:33,5.5577,95.3222,78.15,80,98,5.61
90,bengkulu,ID,2021-01-16 19:03:33,-3.8004,102.2655,76.69,79,100,3.85
91,valera,VE,2021-01-16 19:03:33,9.3178,-70.6036,82.11,53,100,4.7
92,salalah,OM,2021-01-16 19:03:33,17.0151,54.0924,71.6,68,0,4.61
93,hasaki,JP,2021-01-16 19:01:55,35.7333,140.8333,39.2,60,75,5.75
94,petropolis,RU,2021-01-16 19:03:33,59.8944,30.2642,10.99,92,75,6.71
95,vardo,NO,2021-01-16 19:03:33,70.3705,31.1107,35.78,85,100,12.97
96,barrow,US,2021-01-16 19:00:07,71.2906,-156.7887,-0.4,71,90,21.85
97,bambous virieux,MU,2021-01-16 19:03:14,-20.3428,57.7575,81.0,83,40,6.91
98,zaysan,KZ,2021-01-16 19:03:33,47.4667,84.8667,4.62,82,0,3.02
99,acapulco,MX,2021-01-16 19:03:20,16.8634,-99.8901,80.6,78,90,4.61
100,cockburn town,TC,2021-01-16 19:00:12,21.4612,-71.1419,82.4,74,40,9.22
101,tecpan,GT,2021-01-16 19:03:34,14.7623,-90.9947,77.0,60,40,18.41
102,vestmannaeyjar,IS,2021-01-16 19:03:12,63.4427,-20.2734,39.2,81,90,31.07
103,llallagua,BO,2021-01-16 19:03:34,-18.4167,-66.6333,57.52,52,100,4.14
104,tenenkou,ML,2021-01-16 19:03:34,14.4572,-4.9169,78.15,16,99,12.21
105,marau,BR,2021-01-16 19:01:22,-28.4492,-52.2,82.81,67,100,5.59
106,shenjiamen,CN,2021-01-16 19:03:34,29.9576,122.298,40.71,73,92,22.75
107,vila velha,BR,2021-01-16 19:00:29,-20.3297,-40.2925,87.01,54,40,12.66
108,hay river,CA,2021-01-16 19:02:58,60.8156,-115.7999,8.6,85,100,4.61
109,saskylakh,RU,2021-01-16 19:03:34,71.9167,114.0833,-15.99,87,100,7.43
110,viedma,AR,2021-01-16 19:00:30,-40.8135,-62.9967,62.01,73,100,22.77
111,mundo nuevo,MX,2021-01-16 19:03:34,18.7,-95.5,69.71,77,100,15.48
112,alta floresta,BR,2021-01-16 19:03:34,-9.8756,-56.0861,83.14,71,22,1.16
113,port-cartier,CA,2021-01-16 19:03:35,50.0334,-66.8654,30.2,80,100,6.91
114,muroto,JP,2021-01-16 19:03:35,33.2833,134.15,48.04,56,100,15.19
115,kalmunai,LK,2021-01-16 19:03:35,7.4167,81.8167,77.14,81,67,2.42
116,qaanaaq,GL,2021-01-16 19:03:35,77.484,-69.3632,7.43,91,99,3.83
117,kapaa,US,2021-01-16 19:03:35,22.0752,-159.319,73.4,88,75,5.75
118,harper,LR,2021-01-16 19:03:35,4.375,-7.7169,79.5,77,0,5.59
119,zhangjiakou,CN,2021-01-16 18:59:05,40.81,114.8794,7.63,76,0,5.28
