City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
396,nantucket,US,41.2835,-70.0995,42.8,56,20,33.38,few clouds
397,ishigaki,JP,24.3448,124.1572,59.49,74,93,26.08,overcast clouds
398,usinsk,RU,65.9939,57.5281,-24.36,86,37,8.79,scattered clouds
399,ocampo,MX,21.65,-101.5,62.08,29,98,8.28,overcast clouds
400,sola,VU,-13.8833,167.55,82.51,80,95,13.85,moderate rain
401,brownsville,US,25.9018,-97.4975,71.6,60,90,10.36,overcast clouds
402,myaundzha,RU,63.0494,147.1858,-28.8,82,100,3.2,overcast clouds
403,bundaberg,AU,-24.85,152.35,77.0,83,73,4.61,broken clouds
404,golden,US,39.7555,-105.2211,44.01,44,75,5.75,broken clouds
405,kamskiye polyany,RU,55.4307,51.4171,-5.8,84,90,8.95,snow
406,srednekolymsk,RU,67.45,153.6833,-40.67,81,45,2.68,scattered clouds
407,bikaner,IN,28.0167,73.3,59.63,38,0,7.72,clear sky
408,sistranda,NO,63.7256,8.834,26.6,80,40,21.85,scattered clouds
409,nabari,JP,34.6167,136.0833,34.0,77,14,1.01,few clouds
410,sembakung,ID,3.8167,117.25,72.07,88,100,3.42,overcast clouds
411,sayyan,YE,15.1718,44.3244,49.48,47,40,1.19,scattered clouds
412,gari,RU,59.4307,62.3497,-9.72,90,88,5.61,overcast clouds
413,vostok,RU,46.4856,135.8833,-13.31,89,76,3.91,broken clouds
414,livingston,GB,55.9029,-3.5226,42.8,93,75,18.41,light rain
415,savannah bight,HN,16.45,-85.85,81.0,78,40,3.44,scattered clouds
416,zabaykalsk,RU,49.6333,117.3167,-22.85,81,2,8.37,clear sky
417,aklavik,CA,68.2191,-135.0107,-16.6,76,75,2.3,broken clouds
418,fare,PF,-16.7,-151.0167,81.03,76,2,13.69,clear sky
419,udimskiy,RU,61.1417,45.9144,-5.19,91,81,6.87,broken clouds
420,vaitape,PF,-16.5167,-151.75,81.05,77,9,15.3,clear sky
421,tessalit,ML,20.1986,1.0114,69.31,17,81,6.82,broken clouds
422,cabo san lucas,MX,22.8909,-109.9124,78.01,40,1,2.3,clear sky
