City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,gorontalo,ID,75.97,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
430,timbiqui,CO,81.32,light rain,2.7717,-77.6654,hotel diana
431,sambava,MG,79.61,moderate rain,-14.2667,50.1667,Melrose
432,acajutla,SV,80.6,clear sky,13.5928,-89.8275,asi es
434,atar,MR,75.11,overcast clouds,20.5169,-13.0499,Oumou Elghoura
443,calvinia,ZA,76.23,clear sky,-31.4707,19.776,Die Lemoenhuis
447,tingo maria,PE,87.49,moderate rain,-9.2895,-76.0088,Hospedaje Paraíso
463,bacolod,PH,77.61,overcast clouds,10.6667,122.95,Planta Hotel & Residences
468,kupang,ID,78.67,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
472,luanda,AO,82.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
475,lakatoro,VU,81.63,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
476,bubaque,GW,77.86,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
477,ratnagiri,IN,77.61,clear sky,16.9833,73.3,Hotel Landmark
480,bell ville,AR,87.08,clear sky,-32.6259,-62.6887,Hotel Central
483,conceicao do mato dentro,BR,77.29,overcast clouds,-19.0372,-43.425,Hotel Vista Inn
485,muli,MV,82.2,clear sky,2.9167,73.5667,Medhufushi Island Resort
486,manta,EC,82.4,few clouds,-0.95,-80.7333,Balandra Hotel
494,kloulklubed,PW,75.2,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
495,morondava,MG,84.42,scattered clouds,-20.2833,44.2833,La Case Bambou
496,melchor de mencos,GT,77.0,clear sky,17.0686,-89.1522,Xultun Farm
498,chilca,PE,78.01,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
499,kuruman,ZA,78.01,few clouds,-27.4524,23.4325,Cornerstone Guest House
503,pochutla,MX,86.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
505,moron,AR,82.99,clear sky,-34.6534,-58.6198,Hotel Morón
506,abeokuta,NG,86.0,scattered clouds,7.15,3.35,Park Inn by Radisson Abeokuta
519,conakry,GN,81.37,few clouds,9.538,-13.6773,Riviera Royal Hotel
521,ilhabela,BR,85.69,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
522,vanimo,PG,79.32,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
523,buala,SB,80.76,light rain,-8.145,159.5921,Maringe Lagoon Lodge
529,kavieng,PG,83.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
530,port hedland,AU,86.0,broken clouds,-20.3167,118.5667,The Esplanade Hotel
537,bembereke,BJ,80.94,few clouds,10.2283,2.6634,Hotel Bio Guera
540,grand-lahou,CI,81.59,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
547,xai-xai,MZ,79.0,overcast clouds,-25.0519,33.6442,Complexo da Familia
557,rio grande,BR,80.6,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
563,puerto padre,CU,80.6,broken clouds,21.195,-76.6028,El Paseo
566,axim,GH,81.23,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
570,boffa,GN,84.36,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
571,san policarpo,PH,79.61,overcast clouds,12.1791,125.5072,JM Lodge
572,soubre,CI,86.5,few clouds,5.7856,-6.6083,Lynd Hotels Soubre
573,lamu,KE,80.6,clear sky,-2.2717,40.902,Lamu House
